variant=natural model=/data00/home/sitian/.ms_cache/Qwen/Qwen3-8B seq_len=8192 model_answered_correctly=True
classification=DISCRIMINATIVE
layer  gran    k/L  quest_ph  quest_sh  oracle  best_bad   margin  needle  disc
    0   256   3.1%    0.6751    0.6751  0.6751    0.6751  +0.0000   0.000    no
    0   256   6.2%    0.6751    0.6751  0.6751    0.7185  -0.0434   0.000    no
    0   256  12.5%    0.7291    0.7335  0.7554    0.7700  -0.0409   0.000    no
    0   256  25.0%    0.7955    0.8025  0.8512    0.8606  -0.0651   0.000    no
    0   256  50.0%    0.9073    0.9342  0.9338    0.9342  -0.0269   0.125    no
    0    64   2.3%    0.5676    0.6075  0.5918    0.6413  -0.0737   0.000    no
    0    64   4.7%    0.6404    0.6848  0.6806    0.6930  -0.0526   0.000    no
    0    64  10.9%    0.7255    0.7397  0.7650    0.7588  -0.0333   0.000    no
    0    64  25.0%    0.8032    0.8183  0.8655    0.8606  -0.0574   0.000    no
    0    64  50.0%    0.9151    0.9302  0.9394    0.9332  -0.0181   0.375    no
    0    32   2.0%    0.5564    0.5941  0.5966    0.6208  -0.0644   0.000    no
    0    32   5.1%    0.6372    0.6964  0.6997    0.6992  -0.0620   0.000    no
    0    32  10.9%    0.7122    0.7493  0.7734    0.7588  -0.0466   0.000    no
    0    32  25.0%    0.8065    0.8205  0.8739    0.8606  -0.0541   0.000    no
    0    32  50.0%    0.9129    0.9284  0.9432    0.9331  -0.0202   0.000    no
    7   256   3.1%    0.9347    0.9347  0.9347    0.9347  +0.0000   0.000    no
    7   256   6.2%    0.9347    0.9347  0.9347    0.9347  +0.0000   0.000    no
    7   256  12.5%    0.9443    0.9444  0.9515    0.9438  +0.0005   0.625    no
    7   256  25.0%    0.9634    0.9492  0.9686    0.9561  +0.0073   1.000    no
    7   256  50.0%    0.9792    0.9698  0.9843    0.9702  +0.0090   1.000    no
    7    64   2.3%    0.9346    0.9354  0.9375    0.9297  +0.0049   0.750    no
    7    64   4.7%    0.9388    0.9373  0.9468    0.9338  +0.0050   1.000    no
    7    64  10.9%    0.9517    0.9408  0.9593    0.9423  +0.0093   1.000    no
    7    64  25.0%    0.9666    0.9546  0.9744    0.9560  +0.0106   1.000    no
    7    64  50.0%    0.9825    0.9753  0.9882    0.9693  +0.0132   1.000    no
    7    32   2.0%    0.9317    0.9345  0.9401    0.9287  +0.0030   0.875    no
    7    32   5.1%    0.9432    0.9370  0.9506    0.9341  +0.0091   1.000    no
    7    32  10.9%    0.9533    0.9455  0.9620    0.9416  +0.0117   1.000    no
    7    32  25.0%    0.9684    0.9601  0.9771    0.9551  +0.0133   1.000    no
    7    32  50.0%    0.9834    0.9781  0.9899    0.9685  +0.0149   1.000    no
   14   256   3.1%    0.9079    0.9079  0.9079    0.9079  +0.0000   0.000    no
   14   256   6.2%    0.9079    0.9079  0.9079    0.9079  +0.0000   0.000    no
   14   256  12.5%    0.9435    0.9471  0.9522    0.9152  +0.0283   0.625    no
   14   256  25.0%    0.9514    0.9580  0.9673    0.9272  +0.0242   0.625    no
   14   256  50.0%    0.9662    0.9772  0.9842    0.9685  -0.0023   0.875    no
   14    64   2.3%    0.9200    0.9388  0.9402    0.9055  +0.0145   0.500    no
   14    64   4.7%    0.9377    0.9412  0.9477    0.9094  +0.0282   0.625    no
   14    64  10.9%    0.9425    0.9470  0.9596    0.9214  +0.0212   0.875    no
   14    64  25.0%    0.9614    0.9635  0.9739    0.9348  +0.0266   1.000    no
   14    64  50.0%    0.9780    0.9801  0.9868    0.9479  +0.0300   1.000    no
   14    32   2.0%    0.9334    0.9383  0.9423    0.9048  +0.0286   0.625    no
   14    32   5.1%    0.9387    0.9417  0.9529    0.9169  +0.0218   0.625    no
   14    32  10.9%    0.9461    0.9515  0.9631    0.9205  +0.0256   0.750    no
   14    32  25.0%    0.9632    0.9653  0.9764    0.9255  +0.0377   1.000    no
   14    32  50.0%    0.9794    0.9819  0.9887    0.9663  +0.0132   1.000    no
   21   256   3.1%    0.7478    0.7478  0.7478    0.7478  +0.0000   0.000    no
   21   256   6.2%    0.7478    0.7478  0.7478    0.7478  +0.0000   0.000    no
   21   256  12.5%    0.8424    0.8505  0.8701    0.7563  +0.0861   0.125    no
   21   256  25.0%    0.9399    0.9672  0.9685    0.8038  +0.1361   0.500   yes
   21   256  50.0%    0.9834    0.9841  0.9885    0.8502  +0.1332   0.875   yes
   21    64   2.3%    0.7933    0.7978  0.7983    0.7495  +0.0438   0.125    no
   21    64   4.7%    0.8747    0.8694  0.9049    0.7465  +0.1282   0.125   yes
   21    64  10.9%    0.9555    0.9620  0.9715    0.7575  +0.1980   0.750   yes
   21    64  25.0%    0.9727    0.9761  0.9871    0.8146  +0.1581   0.875   yes
   21    64  50.0%    0.9876    0.9917  0.9957    0.8881  +0.0995   1.000    no
   21    32   2.0%    0.8447    0.8541  0.8828    0.7433  +0.1014   0.125   yes
   21    32   5.1%    0.9519    0.9564  0.9652    0.7527  +0.1992   0.750   yes
   21    32  10.9%    0.9629    0.9697  0.9805    0.7768  +0.1862   0.750   yes
   21    32  25.0%    0.9791    0.9835  0.9912    0.8095  +0.1696   0.750   yes
   21    32  50.0%    0.9928    0.9939  0.9972    0.8970  +0.0958   1.000    no
   28   256   3.1%    0.7558    0.7558  0.7558    0.7558  +0.0000   0.000    no
   28   256   6.2%    0.7558    0.7558  0.7558    0.7558  +0.0000   0.000    no
   28   256  12.5%    0.8716    0.8747  0.8847    0.7696  +0.1020   0.125   yes
   28   256  25.0%    0.9702    0.9771  0.9763    0.7946  +0.1756   0.625   yes
   28   256  50.0%    0.9843    0.9883  0.9923    0.8658  +0.1185   0.625   yes
   28    64   2.3%    0.7986    0.7995  0.8250    0.7514  +0.0472   0.125    no
   28    64   4.7%    0.9123    0.9006  0.9353    0.7546  +0.1577   0.500   yes
   28    64  10.9%    0.9670    0.9685  0.9752    0.7836  +0.1834   0.750   yes
   28    64  25.0%    0.9783    0.9805  0.9874    0.8239  +0.1544   0.750   yes
   28    64  50.0%    0.9886    0.9916  0.9946    0.8885  +0.1000   1.000   yes
   28    32   2.0%    0.8604    0.8824  0.9118    0.7533  +0.1071   0.375   yes
   28    32   5.1%    0.9484    0.9642  0.9705    0.7721  +0.1763   0.625   yes
   28    32  10.9%    0.9638    0.9720  0.9805    0.7811  +0.1828   0.750   yes
   28    32  25.0%    0.9791    0.9827  0.9892    0.8080  +0.1711   0.750   yes
   28    32  50.0%    0.9889    0.9927  0.9953    0.9276  +0.0614   1.000    no
   35   256   3.1%    0.9031    0.9031  0.9031    0.9031  +0.0000   0.000    no
   35   256   6.2%    0.9031    0.9031  0.9031    0.9031  +0.0000   0.000    no
   35   256  12.5%    0.9192    0.9209  0.9243    0.9133  +0.0059   0.625    no
   35   256  25.0%    0.9376    0.9391  0.9446    0.9216  +0.0160   0.750    no
   35   256  50.0%    0.9658    0.9634  0.9729    0.9490  +0.0168   0.875    no
   35    64   2.3%    0.9005    0.9014  0.9025    0.8958  +0.0047   0.625    no
   35    64   4.7%    0.9070    0.9085  0.9130    0.9010  +0.0060   0.875    no
   35    64  10.9%    0.9200    0.9192  0.9286    0.9083  +0.0116   0.875    no
   35    64  25.0%    0.9410    0.9413  0.9520    0.9189  +0.0222   1.000    no
   35    64  50.0%    0.9675    0.9673  0.9773    0.9455  +0.0221   1.000    no
   35    32   2.0%    0.9027    0.9020  0.9033    0.8952  +0.0076   0.500    no
   35    32   5.1%    0.9099    0.9118  0.9166    0.9013  +0.0086   0.875    no
   35    32  10.9%    0.9213    0.9211  0.9312    0.9079  +0.0134   0.875    no
   35    32  25.0%    0.9405    0.9405  0.9546    0.9186  +0.0219   1.000    no
   35    32  50.0%    0.9675    0.9673  0.9787    0.9401  +0.0275   1.000    no

wrote /data00/home/sitian/tllm/selector-fidelity-runs/selector-fidelity-20260916-2248/fidelity-natural.json
